qitem,label,description,tier,positions_held,sitelink_count,statements,en_title,lg_title,ugandan_citizen
Q1331145,Elizabeth Nyabongo,Ugandan politician and Royal,National executive,Minister of Foreign Affairs of Uganda; ambassador,18,48,Princess Elizabeth of Tooro,Princess Elizabeth of Tooro,yes
Q6153522,Janet Kataaha Museveni,First Lady of Uganda,National executive,First Lady of Uganda; Minister of Education and Sports,17,42,Janet Museveni,Janet Museveni,yes
Q6187078,Alupo Jessica Rose Epel,Ugandan politician,National executive,District Woman Representative; Member of Parliament of Uganda; Minister of Education and Sports; intelligence officer; member of parliament,15,41,Jessica Alupo,Jessica Alupo,yes
Q105942528,Akello Rose Lilly,Ugandan politician,National executive,District Woman Representative; Member of Parliament of Uganda; State Minister for Ethics and Integrity,5,33,Rose Lilly Akello,Rose Lilly Akello,yes
Q1026465,Kadaga Rebecca Alitwala,Ugandan politician,National executive,Deputy Prime Minister of Uganda; District Woman Representative; Member of Parliament of Uganda; Minister for East African Community Affairs; Speaker of the Parliament of Uganda,27,32,Rebecca Kadaga,Rebecca Kadaga,yes
Q1711917,Julia Sebutinde,Ugandan judge,National executive,Judge of the International Court of Justice; President of the International Court of Justice; Vice President of the International Court of Justice,19,31,Julia Sebutinde,Julia Sebutinde,yes
Q62481397,Nabbanja Robinah,Ugandan politician,National executive,District Woman Representative; Leader of Government Business in Parliament; Member of Parliament of Uganda; Prime Minister of Uganda,32,30,Robinah Nabbanja,Robinah Nabbanja,yes
Q6702541,Nakadama Rukia Isanga,Ugandan politician,National executive,Deputy Prime Minister of Uganda; District Woman Representative; Member of Parliament of Uganda; Minister without Portfolio; member of parliament,9,30,Lukia Isanga Nakadama,Lukia Isanga Nakadama,yes
Q4742276,Kyambadde Amelia Anne,Ugandan politician,National executive,Member of Parliament of Uganda; Minister of Trade and Industry; secretary,14,29,Amelia Kyambadde,Amelia Kyambadde,yes
Q24572616,Aceng Jane Ruth Ocero,Ugandan politician,National executive,Chief Whip; City Woman Representative; Member of Parliament of Uganda; Minister of Health of Uganda,14,28,Jane Aceng,Jane Aceng,yes
Q58041073,Anyakun Esther Davinia,Ugandan politician,National executive,District Woman Representative; Member of Parliament of Uganda; State Minister for Disaster Preparedness and Refugees; member of parliament,6,28,Davinia Esther Anyakun,Davinia Esther Anyakun,yes
Q24572652,Kwiyucwiny Grace Freedom,Ugandan politician,National executive,Member of Parliament of Uganda; State Minister for Northern Uganda; member of parliament; minister of state,6,28,Grace Kwiyucwiny,Grace Kwiyucwiny,yes
Q6761316,Maria Kiwanuka,"Ugandan economist, businesswoman and politician",National executive,Finance Minister of Uganda,12,28,Maria Kiwanuka,Maria Kiwanuka,yes
Q24572733,Namuganza Persis Princess,Ugandan politician,National executive,Member of Parliament of Uganda; State Minister for Housing,7,28,Persis Namuganza,Persis Namuganza,yes
Q90916518,Sekindi Aisha,Ugandan politician,National executive,District Woman Representative; Member of Parliament of Uganda; State Minister for Water Resources; member of parliament,6,28,Aisha Sekindi,Aisha Sekindi,yes
Q6761446,Maria Mutagamba,Ugandan politician,National executive,"Member of Parliament of Uganda; Minister of Trade, Tourism and Industry",12,27,Maria Mutagamba,Maria Mutagamba,yes
Q105759549,Akello Beatrice Akori,Ugandan politician,National executive,District Woman Representative; Member of Parliament of Uganda; Minister of State for Economic Monitoring; member of parliament,6,25,Beatrice Akello Akori,Beatrice Akello Akori,yes
Q16200545,Jennifer Namuyangu,Ugandan politician,National executive,Member of Parliament of Uganda; State Minister for Bunyoro Affairs; member of parliament,7,25,Jenipher Namuyangu,Jenipher Namuyangu,yes
Q55583703,Joyce Mpanga,Ugandan politician and government minister,National executive,Member of Parliament of Uganda; minister,11,25,Joyce Mpanga,Joyce Mpanga,yes
Q105883547,Victoria Rusoke Businge,Ugandan politician,National executive,State Minister for Local Government; member of parliament,5,25,Victoria Rusoke Businge,Victoria Rusoke Businge,yes
Q24572619,Betty Amongi,Ugandan politician,National executive,"Member of Parliament of Uganda; Minister of Gender, Labour and Social Development",12,24,Betty Amongi,Betty Amongi,yes
Q19609598,Evelyn Anite,Ugandan journalist and politician,National executive,Member of Parliament of Uganda; State Minister of Finance for Investment and Privatization,8,24,Evelyn Anite,Evelyn Anite,yes
Q98733574,Musenero Monica Masanza,Ugandan politician,National executive,"Ex officio member of Parliament of Uganda; Member of Parliament of Uganda; Minister of Science, Technology and Innovation",6,24,Monica Musenero,Monica Musenero,yes
Q105951053,Sarah Mateke Nyirabashitsi,Ugandan politician,National executive,Minister of State for Youth and Children Affairs; member of parliament,7,24,Sarah Mateke Nyirabashitsi,Sarah Mateke Nyirabashitsi,yes
Q54233287,Agnes Nandutu,Ugandan journalist and politician,National executive,Member of Parliament of Uganda; State Minister for Karamoja,7,23,Agnes Nandutu,Agnes Nandutu,yes
Q4696656,Aidah Nantaba,Ugandan politician,National executive,Member of Parliament of Uganda; State Minister for Lands; State Minister for Tourism,5,23,Idah Nantaba,Idah Nantaba,yes
Q90932356,Anifa Bangirana,Ugandan politician,National executive,Member of Parliament of Uganda; State Minister of Health for General Duties,5,23,Bangirana Kawooya Anifa,Bangirana Kawooya Anifa,yes
Q111180875,Mugasa Grace Mary,Ugandan politician,National executive,Ex officio member of Parliament of Uganda; Member of Parliament of Uganda; State Minister for Public Service; council member; mayor,5,23,Grace Mary Mugasa,Grace Mary Mugasa,yes
Q41693469,Nawe Molly Kamukama,Ugandan politician,National executive,District Woman Representative; Member of Parliament of Uganda; Minister of State for Economic Monitoring,2,23,Molly Nawe Kamukama,Molly Nawe Kamukama,no
Q24572738,Mary Goretti Kitutu,Ugandan politician,National executive,Member of Parliament of Uganda; Minister of Karamoja,8,22,Mary Goretti Kitutu,Mary Goretti Kitutu,yes
Q52615829,Nabakooba Judith Nalule,Ugandan politician,National executive,"District Woman Representative; Member of Parliament of Uganda; Minister of Lands, Housing and Urban Development",7,22,Judith Nabakooba,Judith Nabakooba,yes
Q111530547,Nyamutoro Phiona,Ugandan politician,National executive,District Woman Representative; Member of Parliament of Uganda; member of parliament; minister of state,7,22,Phiona Nyamutoro,Phiona Nyamutoro,yes
Q111181361,Oleru Huda Abason,Ugandan politician,National executive,Member of Parliament of Uganda; State Minister for Veterans Affairs,2,22,Huda Abason Oleru,Oleru Huda,yes
Q50379529,Rhoda Kalema,Ugandan politician,National executive,Deputy Minister of Public Service; minister,8,22,Rhoda Kalema,Rhoda Kalema,yes
Q544606,Specioza Kazibwe,Ugandan politician,National executive,Vice President of Uganda,21,22,Specioza Kazibwe,Specioza Kazibwe,yes
Q54224710,Ssebugwawo Joyce Juliet,Ugandan politician,National executive,Ex officio member of Parliament of Uganda; Member of Parliament of Uganda; State Minister for Information Technology and Communications; acting president; mayor; member of parliament,5,22,Joyce Nabbosa Ssebugwawo,Joyce Nabbosa Ssebugwawo,yes
Q13125467,Aloisea Inyumba,Rwandan politician,National executive,minister,12,21,Aloisea Inyumba,Aloisea Inyumba,yes
Q6318370,Lumumba Justine Kasule,Ugandan politician,National executive,Ex officio member of Parliament of Uganda; Member of Parliament of Uganda; Minister in Charge of General Duties in the Office of the Prime Minister,9,21,Justine Lumumba Kasule,Justine Lumumba Kasule,yes
Q7659743,Syda Bbumba,Ugandan politician,National executive,Finance Minister of Uganda; Member of Parliament of Uganda,9,21,Syda Bbumba,Syda Bbumba,yes
Q57825198,Adoa Hellen Abeku,Ugandan politician,National executive,Member of Parliament of Uganda; State Minister for Fisheries,7,20,Hellen Adoa,Hellen Adoa,yes
Q4877118,Atim Beatrice Anywar,Ugandan politician,National executive,Ex officio member of Parliament of Uganda; Member of Parliament of Uganda; State Minister for the Environment,9,20,Beatrice Atim Anywar,Beatrice Atim Anywar,yes
Q16187230,Hope Mwesigye,Ugandan politician,National executive,"Member of Parliament of Uganda; Minister of Agriculture, Animal Industry and Fisheries",7,20,Hope Mwesigye,Hope Mwesigye,yes
Q24572708,Joy Kabatsi,"Ugandan lawyer, farmer and politician",National executive,Member of Parliament of Uganda; State Minister for Animal Industry; State Minister for Transport,11,20,Joy Kabatsi,Joy Kabatsi,yes
Q24572655,Joyce Moriku,"Ugandan pediatrician, academic and politician",National executive,Member of Parliament of Uganda; State Minister for Primary Education,8,20,Joyce Moriku,Joyce Moriku,yes
Q24668795,Peace Mutuuzo,Ugandan politician,National executive,Member of Parliament of Uganda; State Minister for Gender and Culture,6,20,Peace Mutuuzo,Peace Mutuuzo,yes
Q5111140,Christine Ondoa,Minister of Health and member of Parliament of Uganda,National executive,minister,8,19,Christine Ondoa,Christine Ondoa,yes
Q6150822,Janat Mukwaya,Ugandan politician,National executive,"Attorney General of Uganda; Justice Minister of Uganda; Member of Parliament of Uganda; Minister of Agriculture, Animal Industry and Fisheries",8,19,Janat Mukwaya,Janat Mukwaya,yes
Q7383142,Ruth Nankabirwa,Ugandan politician,National executive,Member of Parliament of Uganda; Minister of Energy and Minerals,6,19,Ruth Nankabirwa,Ruth Nankabirwa,yes
Q6961899,Namirembe Bitamazire,Ugandan politician and academic,National executive,Member of Parliament of Uganda; Minister of Education and Sports,9,18,Namirembe Bitamazire,Namirembe Bitamazire,yes
Q90805964,Hellen Grace Asamo,Ugandan Legislator,National executive,Member of Parliament of Uganda; State Minister for the Disabled,3,17,Hellen Asamo,Hellen Asamo,yes
Q109974085,Babirye Milly Babalanda,Ugandan politician,National executive,Member of Parliament of Uganda; Minister of the Presidency,6,16,Milly Babalanda,Milly Babalanda,yes
Q16727764,Loyce Biira Bwambale,Ugandan politician,National executive,Member of Parliament of Uganda; Member of the Pan-African Parliament; Prime minister of Rwenzururu,7,16,Loyce Biira Bwambale,Loyce Biira Bwambale,yes
Q133828187,Joan Rwabyomere,"Ugandan lawyer, business woman and diplomat",National executive,State Minister for Agriculture; member of parliament,2,14,Joan Rwabyomere,Joan Rwabyomere,yes
Q111293515,Misi Kabanda,Ugandan politician,National executive,Minister of Kampala Capital City Authority; politician,4,14,Minsa Kabanda,Misi Kabanda,yes
Q111322940,Kaboyo Alice,Ugandan politician,National executive,Ex officio member of Parliament of Uganda; Member of Parliament of Uganda; State Minister for Luweero Triangle and Rwenzori Region,3,12,Alice Kaboyo,Alice Kaboyo,yes
Q111327988,Mugisha Muhanga Margaret,Ugandan politician,National executive,State Minister of Health for Primary Care,2,9,Mugisha Muhanga Margaret,Mugisha Muhanga Margaret,yes
Q111319472,Diana Nankunda Mutasingwa,Ugandan politician,National executive,Minister of State in the Office of the Vice President,4,8,Diana Nankunda Mutasingwa,Diana Nankunda Mutasingwa,yes
Q39183854,Lillian Tibatemwa-Ekirikubinza,"Ugandian lawyer, Justice of the Supreme Court of Uganda",Judiciary,Justice of the Supreme Court of Uganda,9,28,Lillian Tibatemwa-Ekirikubinza,Lillian Tibatemwa-Ekirikubinza,yes
Q48119456,Percy Tuhaise,Ugandan lawyer and judge,Judiciary,Justice of the Supreme Court of Uganda,3,22,Percy Tuhaise,Percy Tuhaise,yes
Q39311739,Faith Mwondha,Ugandan lawyer and judge,Judiciary,Justice of the Supreme Court of Uganda,3,17,Faith Mwondha,Faith Mwondha,yes
Q16147044,Stella Arach-Amoko,Ugandan judge,Judiciary,Justice of the Supreme Court of Uganda,3,17,Stella Arach-Amoko,Stella Arach-Amoko,no
Q5401242,Esther Mayambala Kisaakye,Ugandan judge,Judiciary,Justice of the Supreme Court of Uganda,3,16,Esther Mayambala Kisaakye,Esther Mayambala Kisaakye,yes
Q21759,Winnie Byanyima,"20th and 21st-century Ugandan aeronautical engineer, politician and diplomat",Diplomatic service,Member of Parliament of Uganda; ambassador; executive director,28,56,Winnie Byanyima,Winnie Byanyima,yes
Q33122407,Stéphanie Rivoal,French diplomat,Diplomatic service,ambassador of France to Uganda; chairperson; supervisory board,2,40,,,no
Q33103191,Aline Kuster-Ménager,French diplomat,Diplomatic service,ambassador of France to Benin; ambassador of France to Kenya; ambassador of France to Somalia; ambassador of France to Uganda,1,27,,,no
Q100308123,Mirjam Blaak,Ugandan politician and diplomat,Diplomatic service,ambassador of Uganda,2,26,Mirjam Blaak,,yes
Q5791446,Cristina Díaz Fernández-Gil,Spanish diplomat,Diplomatic service,Ambassador of Spain to Burkina Fasso; Ambassador of Spain to Ivory Coast; Ambassador of Spain to Liberia; Ambassador of Spain to Somalia; Ambassador of Spain to Uganda; ambassador of Spain to Kenya; ambassador of Spain to Senegal,2,25,,,no
Q4859206,Barbara Oundo Nekesa,Ugandan politician,Diplomatic service,Member of Parliament of Uganda; ambassador,8,18,Barbara Nekesa Oundo,Barbara Nekesa Oundo,yes
Q25051158,Edith Sempala,"Ugandan civil engineer, civil servant, diplomat and political activist",Diplomatic service,ambassador of Uganda to the United States,8,16,Edith Sempala,Edith Sempala,yes
Q43549242,Philippa Ngaju Makobore,Ugandan electrical engineer and academic,Diplomatic service,NEF ambassador,4,13,Philippa Ngaju Makobore,Philippa Ngaju Makabore,yes
Q133817591,Elizabeth Paula Napeyok,Ugandan diplomat and former educator,Diplomatic service,ambassador of Uganda,2,12,Elizabeth Paula Napeyok,Elizabeth Paula Napeyok,yes
Q6779980,Mary Karooro Okurut,Ugandan politician and writer,Parliament,Member of Parliament of Uganda,10,44,Mary Karooro Okurut,Mary Karooro Okurut,yes
Q19276819,Cecilia Ogwal,Ugandan politician,Parliament,Member of Parliament of Uganda,9,37,Cecilia Ogwal,Cecilia Ogwal,yes
Q43375707,Akello Lucy,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,9,32,Lucy Akello,Lucy Akello,yes
Q22007122,Bakireke Nambooze Betty,Ugandan politician,Parliament,Member of Parliament of Uganda; member of parliament,11,32,Betty Nambooze,Betty Nambooze,yes
Q5590968,Grace Akello,"Ugandian poet, essayist, folklorist, politician",Parliament,Member of Parliament of Uganda,20,32,Grace Akello,Grace Akello,yes
Q41768539,Agnes Atim Apea,Ugandan politician,Parliament,Member of Parliament of Uganda,14,30,Agnes Atim Apea,Agnes Atim Apea,yes
Q42664267,Winnie Kiiza,Ugandan politician | legislator | teacher,Parliament,Leader of Opposition; Member of Parliament of Uganda,6,30,Winnie Kiiza,Winnie Kiiza,yes
